"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Cystm1",6.61245616162567e-08,0.279113628418354,0.7,0.4,0.00170515407039841,8.75565931464578e-08
"Slco1a4",6.63946552153493e-08,0.440985997732103,0.28,0.01,0.00171211897403821,8.78743941477279e-08
"Wdr17",6.81457875692543e-08,0.254249908238825,0.53,0.19,0.00175727542404836,9.01511981384927e-08
"Cldn10",6.84102049914774e-08,0.27874308248376,0.34,0.04,0.00176409395611523,9.04600311363085e-08
"Gm10925",6.89250656815946e-08,-0.520056634742601,0.92,1,0.00177737066873128,9.10996003873021e-08
"Syt5",6.90782183508135e-08,0.271694038913823,0.54,0.22,0.00178132001661243,9.12607308017757e-08
"AC163651.2",6.94583826950967e-08,0.445424688362599,0.57,0.34,0.00179112331455846,9.17214899875124e-08
"Klf12",7.54340525572211e-08,0.715674791132196,0.75,0.66,0.00194521791329306,9.95674954901232e-08
"AC117688.1",7.55944976167559e-08,0.61437336792032,0.44,0.14,0.00194935531004328,9.97342039469485e-08
"Mycbp2",8.01657716520218e-08,0.250584976317074,0.9,0.91,0.00206723475359069,1.05717480359167e-07
"AC130831.1",8.50878529326487e-08,0.355583915329207,0.49,0.17,0.00219416046357421,1.12157770043442e-07
"Gphn",9.14436857770277e-08,0.337577082223383,0.68,0.44,0.00235805832513221,1.20481283786512e-07
"Gaa",9.4954315995035e-08,0.325193249488558,0.75,0.54,0.00244858694656397,1.25050296222497e-07
"Gm10134",1.00912868241634e-07,0.320346638854722,0.68,0.44,0.00260224013334701,1.32837534084638e-07
"Kmt2e",1.01201985649016e-07,0.571171570518637,0.94,0.89,0.00260969560393117,1.33158108144493e-07
"Eml1",1.07094405464341e-07,0.309075334265182,0.68,0.42,0.00276164343370896,1.40847707501729e-07
"Ccl7",1.07276613504961e-07,1.44210250049462,0.25,0,0.00276634203245243,1.40897026999996e-07
"Gjb6",1.07276613504961e-07,1.22296495989822,0.25,0,0.00276634203245243,1.40897026999996e-07
"Gm8203",1.07276613504961e-07,-0.33616668392578,0,0.25,0.00276634203245243,1.40897026999996e-07
"Dstn",1.121633428243e-07,-0.2790592299208,0.97,1,0.00289235612141021,1.47189317871372e-07
"Myl12b",1.12168237446654e-07,1.23846552567218,1,0.99,0.00289248233903686,1.47189317871372e-07
"Lmo7",1.31178562228063e-07,0.255329869457774,0.59,0.29,0.00338270158417507,1.72057736986158e-07
"Ndufaf1",1.42033417657504e-07,0.363954061597063,0.34,0.82,0.00366261574113406,1.86211675483649e-07
"Trappc2l",1.42160247297693e-07,1.08569672200413,0.85,0.94,0.00366588629706562,1.8629433932551e-07
"Ndufa7",1.44443675966755e-07,-0.283152066436082,0.93,1,0.0037247690721547,1.89201783631789e-07
"Tmem14c",1.50467630146774e-07,-0.360392340506995,0.46,0.88,0.00388010877859487,1.9700401060454e-07
"Churc1",1.53525904157076e-07,-0.559625128437681,0.85,1,0.00395897249049853,2.00918085144633e-07
"Psma3",1.6070253204377e-07,-0.316225618875588,0.97,1,0.00414403619381269,2.10215896148612e-07
"Limk2",1.85006878155097e-07,-0.396076047712518,0.79,0.97,0.00477077236698548,2.4190021982589e-07
"Arl6ip1",1.85821177634454e-07,0.700946450373321,0.98,0.98,0.00479177070765967,2.42856223655589e-07
"Pcp4",1.90473657793406e-07,1.49883853772833,0.55,0.19,0.00491174421351856,2.48825382117415e-07
