"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Rpl7a",4.7509135263463e-35,-2.52363929935691,0.44,1,1.14516019639051e-30,1.30801451865918e-33
"Exo1",4.76289656286596e-35,-0.527852250444357,0.08,0.96,1.14804858751321e-30,1.30801451865918e-33
"Rps10",4.89010193005412e-35,-2.40285767048994,0.43,1,1.17871016922025e-30,1.33387442511003e-33
"Rrp15",5.08944643257982e-35,-0.67542584340367,0.15,0.99,1.22676016810904e-30,1.3781232618129e-33
"Aurkb",5.1888713350399e-35,-0.395809019776326,0,0.93,1.25072554659802e-30,1.3781232618129e-33
"Fbxo5",5.1888713350399e-35,-0.537568713834728,0,0.93,1.25072554659802e-30,1.3781232618129e-33
"Gm15452",5.1888713350399e-35,-1.12569937856974,0,0.93,1.25072554659802e-30,1.3781232618129e-33
"Ppp1r14b",5.24592593112557e-35,-0.533831413120475,0.06,0.98,1.26447798643851e-30,1.38417012967019e-33
"Znhit6",5.44363986608628e-35,-0.456622557556319,0.08,0.97,1.31213495332144e-30,1.42701130775262e-33
"Gm10123",5.62054315462771e-35,-2.53465412652558,0.2,1,1.35477572199146e-30,1.46387953001497e-33
"Rpl23a",5.71170470106097e-35,-2.33199598932222,0.44,1,1.37674930114374e-30,1.47808665885789e-33
"Dctd",6.27803305981246e-35,-0.359603645159678,0.05,0.97,1.5132570887372e-30,1.61429423327789e-33
"Gm7666",6.37816837484377e-35,-0.991328814942417,0.02,0.97,1.53739370507234e-30,1.62966238792686e-33
"Rps20",6.50763121256495e-35,-2.06298154723149,0.26,1,1.56859942747666e-30,1.65228347202042e-33
"Hmgn1",6.84198276104364e-35,-1.54796312760924,0.25,1,1.64919152472196e-30,1.72631777539582e-33
"1810032O08Rik",7.07986422956481e-35,-0.338788663734735,0.04,0.97,1.7065304738943e-30,1.77524297482939e-33
"Cdk4",7.98186399670391e-35,-2.20331888574714,0.31,0.99,1.92394849776551e-30,1.98906079967245e-33
"Ppih",8.107688462296e-35,-0.737755700261492,0.07,0.99,1.95427722695183e-30,2.00802075596865e-33
"Rps19",8.35560691060275e-35,-2.82346157965478,0.51,1,2.01403548973169e-30,2.05680396939654e-33
"Rplp1",8.94506134882375e-35,-2.67368529046856,0.52,1,2.15611758752048e-30,2.18855834334554e-33
"Rpl18a",9.22172408735522e-35,-2.86369461017446,0.52,1,2.2228043740161e-30,2.2426566349791e-33
"Rps11",9.34459976429357e-35,-2.49479562603872,0.5,1,2.25242232718532e-30,2.24765768372494e-33
"Nup37",9.35364109154791e-35,-0.662849147150162,0.06,0.98,2.25460164870671e-30,2.24765768372494e-33
"Ube2c",9.52844280624909e-35,-1.32385345295907,0.11,1,2.29673585401828e-30,2.27611382300755e-33
"Rpl37a",9.84347047803429e-35,-2.38044364412011,0.53,1,2.37267012402539e-30,2.33753472469555e-33
"Nme2",1.10121580131397e-34,-1.79804808592286,0.35,1,2.65437056748719e-30,2.59977087128918e-33
"Rcn3",1.10984837292015e-34,-0.338957807306127,0.01,0.93,2.67517851808674e-30,2.60491737295271e-33
"Mcm3",1.17881705569357e-34,-0.896163332370864,0.02,0.95,2.84142063104378e-30,2.75080026233234e-33
"Rbmxl1",1.25052755869695e-34,-0.948467052354861,0.11,0.99,3.01427162748313e-30,2.89007919146864e-33
"Rpl28-ps1",1.25282105154078e-34,-2.05975283339096,0.39,1,3.01979986263389e-30,2.89007919146864e-33
"Sf3b4",1.27048207120726e-34,-0.575689448339573,0.1,1,3.06236998443798e-30,2.91416825083165e-33
"Tubb6",1.29949689188962e-34,-0.343240976167592,0.02,0.95,3.13230730821075e-30,2.96242576316617e-33
"Dgka",1.30619714105419e-34,-0.997350836480797,0.23,1,3.14845758879703e-30,2.96242576316617e-33
"Snu13",1.36488045697257e-34,-1.55370143378775,0.47,1,3.28990785348669e-30,3.07822480714987e-33
