"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"HLA-B",3.59931432210576e-08,0.382512811367157,0.986,0.99,0.00102897197840359,2.22851163347399e-07
"ARAP2",5.081447482628e-08,0.416393406110672,0.541,0.27,0.00145268420633369,3.11305519462052e-07
"APMAP",5.65632729435479e-08,0.621247242514553,0.608,0.371,0.00161703084691015,3.42914842220259e-07
"PCDH9",6.71554834451007e-08,-0.523643033266022,0.973,0.991,0.00191984096072854,4.02932900670604e-07
"ERN1",8.72621755290906e-08,-0.658435519233206,0.527,0.768,0.00249465107402564,5.18230470999293e-07
"PSMB9",1.97932430211581e-07,0.542643397751379,0.932,0.779,0.00565849231488867,1.16360277154687e-06
"MED13",2.1674795422024e-07,0.396311501343494,0.716,0.484,0.00619639051524822,1.2614730935618e-06
"TRGC2",2.60478970673027e-07,0.447931163988766,0.743,0.493,0.00744657281360049,1.50097783100695e-06
"CFLAR",3.05184597956671e-07,0.620590736086792,1,0.976,0.00872461728638531,1.74134741187042e-06
"S100A11",3.44285704785512e-07,-0.638542535153908,0.378,0.7,0.0098424397284082,1.94538136102105e-06
"CD55",3.864784391145e-07,0.566840494941912,0.649,0.476,0.0110486456174053,2.16279280350614e-06
"LY6E",4.10726555141046e-07,0.591341706522058,0.649,0.43,0.0117418507583722,2.27659861992466e-06
"SLAMF1",4.21586443335266e-07,-0.425700832791596,0.054,0.333,0.0120523132420686,2.30166899994199e-06
"U2",4.23159077308923e-07,0.480300801759281,0.595,0.317,0.0120972717021075,2.30166899994199e-06
"PRKCB",4.40259955176257e-07,0.320972878455332,0.527,0.279,0.0125861515985788,2.37251198067205e-06
"CD44",4.46430593252405e-07,0.546870933128848,0.946,0.848,0.0127625577998998,2.37602052080998e-06
"HLA-DPB1",4.49076043452058e-07,0.453416593765059,0.541,0.31,0.0128381859302074,2.37602052080998e-06
"STK17B",7.01818258174138e-07,-0.44150977416145,0.986,0.988,0.0200635803646823,3.67980384015629e-06
"ZFP36L1",7.30814182233126e-07,-0.751752447292814,0.932,0.977,0.0208925158416806,3.79762369696142e-06
"XBP1",8.01571883445177e-07,0.550358486648965,0.743,0.49,0.0229153370039307,4.1284498775672e-06
"IL4I1",8.38259267951772e-07,-0.983105514858006,0.365,0.557,0.0239641559522053,4.27953415743799e-06
"ARPC5L",8.95767080317971e-07,0.295202081859957,0.486,0.232,0.0256081892921302,4.53336035430486e-06
"CD200R1",9.24220340340958e-07,-0.583244495284121,0.257,0.516,0.0264216110896673,4.63703653515895e-06
"BHLHE40",1.4019721832063e-06,0.320383609828489,0.635,0.402,0.0400795807735018,6.97391291133392e-06
"PYHIN1",2.32920520613947e-06,0.599741086468922,0.554,0.341,0.0665873184331151,1.14881138133319e-05
"CCR6",2.64504034744089e-06,-0.409947497717456,0.338,0.575,0.0756164134526402,1.29362477496689e-05
"CD7",2.71118942194888e-06,0.292937888565177,0.892,0.72,0.0775074831946747,1.31492686964521e-05
"HLA-C",3.1364525344661e-06,0.359490026135899,0.973,0.977,0.0896649050553169,1.50860774798287e-05
"AC010186.4",3.43982175595089e-06,0.547146149889335,0.432,0.22,0.098337624359124,1.64096414915034e-05
"SELPLG",3.5446430854648e-06,0.507218739816313,0.743,0.538,0.101334256527268,1.67722136239066e-05
"LINC00892",3.70787353315551e-06,-0.872643313805132,0.108,0.371,0.10600068856585,1.74030838411009e-05
"IL32",3.89540721196274e-06,-0.96147034092279,0.797,0.848,0.111361901375591,1.80897233569791e-05
"CLIC3",3.91633186078928e-06,0.491607832642997,0.297,0.113,0.111960095236244,1.80897233569791e-05
"ADGRE5",4.20405691201383e-06,0.554934837671986,0.662,0.53,0.120185579000651,1.92658356125358e-05
"APOBEC3C",4.38078852369538e-06,0.485144495089141,0.959,0.873,0.125237982315404,1.99188978186774e-05
"APOBEC3G",6.64748018204528e-06,0.644554854809355,0.757,0.659,0.19003816344431,2.99909571003903e-05
"KIAA1324",7.1314141210188e-06,-0.556207815941542,0.527,0.686,0.203872866891685,3.19267924494842e-05
"SLAMF7",7.81080254440337e-06,0.66979548569397,0.878,0.77,0.223295223139403,3.47014280980363e-05
"AC135983.2",8.72334307924236e-06,0.273062613941531,0.446,0.232,0.249382931949381,3.84620126675686e-05
"CD52",1.07003720900678e-05,-0.472239763397426,0.905,0.965,0.305902237310857,4.664020915806e-05
"TOX2",1.0738467400653e-05,-0.376167795254417,0.108,0.343,0.306991306049868,4.664020915806e-05
"MAFF",1.18721486685305e-05,0.538105541354461,1,0.997,0.33940098613595,5.11821520376648e-05
"PTPN12",1.2865239136126e-05,0.29216469946226,0.541,0.336,0.36779145642357,5.50556557148922e-05
"C1orf56",1.45913031244688e-05,0.257395328972016,0.946,0.944,0.417136173722315,6.1986411813437e-05
"TESPA1",1.47342922348444e-05,-0.475515151777099,0.365,0.624,0.421223946409732,6.21402759469526e-05
"TGFBR3",1.55498966537358e-05,0.255546733866777,0.459,0.263,0.444540445537,6.51082003775126e-05
"PIP4K2A",1.57506919087135e-05,0.353487270075423,0.973,0.927,0.450280780286301,6.5477876363366e-05
"AC008035.1",1.67744877564656e-05,0.308196960637735,0.135,0.03,0.479549055981839,6.9239374994773e-05
"PLA2G6",1.7682355922009e-05,0.290692300922545,0.365,0.174,0.505503191098392,7.2465059095576e-05
"CAT",1.78049887468511e-05,-0.748761013208374,0.351,0.554,0.509009018294981,7.2465059095576e-05
"PRDX2",1.86662525017129e-05,-0.484162205012469,0.27,0.545,0.533630826518969,7.54427705277564e-05
"KRT86",2.05125607668862e-05,-0.642129067535097,0.189,0.411,0.586413087203742,8.22729306784573e-05
"AGK",2.06389138815374e-05,0.428933928382328,0.392,0.207,0.590025270045391,8.22729306784573e-05
"RORA",2.07984848649024e-05,-0.314168968415542,0.392,0.629,0.594587085317831,8.23450217100219e-05
"PTGDR",2.1574070309463e-05,0.326938066710869,0.554,0.345,0.616759522006928,8.48385737845099e-05
"VIM",2.26516095589096e-05,-0.507707877423883,0.595,0.751,0.647564214070108,8.84780990824523e-05
"SH2D2A",2.73219300917396e-05,0.302192813857574,0.405,0.207,0.781079337462652,0.00010600908875595
"VWA5A",2.80944786689377e-05,-0.571836344056492,0.324,0.531,0.803164956187591,0.000108284679372992
"SLC38A1",3.07941404255922e-05,0.377959746829806,0.838,0.707,0.88034288648683,0.00011790914294536
"FXYD5",3.54749317724038e-05,-0.469476755055808,0.865,0.941,1,0.000134943858114634
"PBXIP1",3.79125587082949e-05,-0.301301888767164,0.622,0.794,1,0.000143279929663816
"BIRC3",4.01251112070175e-05,-0.560382060048309,0.838,0.944,1,0.000150663320790221
"NEAT1",4.2836013340598e-05,0.313882303820456,0.905,0.857,1,0.000159811280539923
"MSN",4.36600130651171e-05,0.304722982069183,0.878,0.777,1,0.000161847946521644
